country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Thailand,Asia,1997.0,67.521,60216677.0,5852.625497,THA,764.0
Ireland,Europe,1982.0,73.1,3480000.0,12618.32141,IRL,372.0
Libya,Africa,1952.0,42.723,1019729.0,2387.54806,LBY,434.0
Haiti,Americas,1952.0,37.579,3201488.0,1840.366939,HTI,332.0
Bulgaria,Europe,2002.0,72.14,7661799.0,7696.777725,BGR,100.0
Argentina,Americas,2007.0,75.32,40301927.0,12779.37964,ARG,32.0
Albania,Europe,1967.0,66.22,1984060.0,2760.196931,ALB,8.0
Turkey,Europe,1962.0,52.098,29788695.0,2322.869908,TUR,792.0
Mauritania,Africa,1982.0,53.599,1622136.0,1481.150189,MRT,478.0
Mali,Africa,1977.0,41.714,6491649.0,686.3952693,MLI,466.0
Iceland,Europe,1967.0,73.73,198676.0,13319.89568,ISL,352.0
Bolivia,Americas,1967.0,45.032,4040665.0,2586.886053,BOL,68.0
Madagascar,Africa,2007.0,59.44300000000001,19167654.0,1044.770126,MDG,450.0
Comoros,Africa,2007.0,65.152,710960.0,986.1478792,COM,174.0
Sierra Leone,Africa,1977.0,36.788,3140897.0,1348.285159,SLE,694.0
Kenya,Africa,2007.0,54.11,35610177.0,1463.249282,KEN,404.0
France,Europe,1957.0,68.93,44310863.0,8662.834898000001,FRA,250.0
Ecuador,Americas,1987.0,67.23100000000001,9545158.0,6481.776993,ECU,218.0
Gabon,Africa,1987.0,60.19,880397.0,11864.40844,GAB,266.0
Nigeria,Africa,1967.0,41.04,47287752.0,1014.514104,NGA,566.0
Iraq,Asia,1987.0,65.044,16543189.0,11643.57268,IRQ,368.0
Jamaica,Americas,1962.0,65.61,1665128.0,5246.107524,JAM,388.0
Guinea-Bissau,Africa,1962.0,34.488,627820.0,522.0343725,GNB,624.0
Guatemala,Americas,1962.0,46.95399999999999,4208858.0,2750.364446,GTM,320.0
Morocco,Africa,1997.0,67.66,28529501.0,2982.101858,MAR,504.0
Namibia,Africa,1962.0,48.386,621392.0,3173.215595,NAM,516.0
Bahrain,Asia,1957.0,53.832,138655.0,11635.79945,BHR,48.0
Guinea-Bissau,Africa,1952.0,32.5,580653.0,299.850319,GNB,624.0
Afghanistan,Asia,1977.0,38.438,14880372.0,786.11336,AFG,4.0
"Hong Kong, China",Asia,2007.0,82.208,6980412.0,39724.97867,HKG,344.0
Eritrea,Africa,1987.0,46.453,2915959.0,521.1341333,ERI,232.0
France,Europe,1962.0,70.51,47124000.0,10560.48553,FRA,250.0
Hungary,Europe,1957.0,66.41,9839000.0,6040.180011,HUN,348.0
Portugal,Europe,2007.0,78.098,10642836.0,20509.64777,PRT,620.0
"Congo, Dem. Rep.",Africa,1967.0,44.056,19941073.0,861.5932424,COD,180.0
Niger,Africa,1962.0,39.487,4076008.0,997.7661127,NER,562.0
Swaziland,Africa,1977.0,52.537,551425.0,3781.410618,SWZ,748.0
Iraq,Asia,1972.0,56.95,10061506.0,9576.037596,IRQ,368.0
Mali,Africa,1997.0,49.903,9384984.0,790.2579846,MLI,466.0
Egypt,Africa,1967.0,49.293,31681188.0,1814.880728,EGY,818.0
Uruguay,Americas,1952.0,66.071,2252965.0,5716.766744,URY,858.0
"Yemen, Rep.",Asia,1982.0,49.113,9657618.0,1977.55701,YEM,887.0
Sri Lanka,Asia,1992.0,70.37899999999998,17587060.0,2153.739222,LKA,144.0
Bahrain,Asia,1992.0,72.601,529491.0,19035.57917,BHR,48.0
"Congo, Dem. Rep.",Africa,1997.0,42.587,47798986.0,312.188423,COD,180.0
Malawi,Africa,2007.0,48.303,13327079.0,759.3499101,MWI,454.0
Ethiopia,Africa,2007.0,52.947,76511887.0,690.8055759,ETH,231.0
Iraq,Asia,1967.0,54.459,8519282.0,8931.459811,IRQ,368.0
Chad,Africa,1957.0,39.881,2894855.0,1308.495577,TCD,148.0
Croatia,Europe,1982.0,70.46,4413368.0,13221.82184,HRV,191.0
Benin,Africa,1972.0,47.014,2761407.0,1085.796879,BEN,204.0
Romania,Europe,1987.0,69.53,22686371.0,9696.273295,ROU,642.0
Mongolia,Asia,1987.0,60.222,2015133.0,2338.008304,MNG,496.0
Morocco,Africa,1992.0,65.393,25798239.0,2948.047252,MAR,504.0
Bolivia,Americas,1992.0,59.957,6893451.0,2961.699694,BOL,68.0
Rwanda,Africa,1977.0,45.0,4657072.0,670.0806011,RWA,646.0
Malawi,Africa,1982.0,45.642,6502825.0,632.8039209,MWI,454.0
Cuba,Americas,1992.0,74.414,10723260.0,5592.843963,CUB,192.0
Paraguay,Americas,2007.0,71.752,6667147.0,4172.838464,PRY,600.0
New Zealand,Oceania,2007.0,80.204,4115771.0,25185.00911,NZL,554.0
Eritrea,Africa,1962.0,40.158,1666618.0,380.9958433000001,ERI,232.0
Guatemala,Americas,1997.0,66.322,9803875.0,4684.313807,GTM,320.0
Central African Republic,Africa,1957.0,37.464,1392284.0,1190.844328,CAF,140.0
Burkina Faso,Africa,1962.0,37.814,4919632.0,722.5120206,BFA,854.0
Taiwan,Asia,1952.0,58.5,8550362.0,1206.947913,TWN,158.0
Finland,Europe,1972.0,70.87,4639657.0,14358.8759,FIN,246.0
Dominican Republic,Americas,2002.0,70.847,8650322.0,4563.808154,DOM,214.0
Greece,Europe,2007.0,79.483,10706290.0,27538.41188,GRC,300.0
Syria,Asia,1962.0,50.305,4834621.0,2193.037133,SYR,760.0
Dominican Republic,Americas,1992.0,68.457,7351181.0,3044.214214,DOM,214.0
Turkey,Europe,1957.0,48.07899999999999,25670939.0,2218.754257,TUR,792.0
Sri Lanka,Asia,1987.0,69.01100000000001,16495304.0,1876.766827,LKA,144.0
Sierra Leone,Africa,1982.0,38.445,3464522.0,1465.010784,SLE,694.0
Montenegro,Europe,1952.0,59.164,413834.0,2647.585601,MNE,499.0
Bahrain,Asia,1952.0,50.93899999999999,120447.0,9867.084765,BHR,48.0
Denmark,Europe,1962.0,72.35,4646899.0,13583.31351,DNK,208.0
Romania,Europe,2007.0,72.476,22276056.0,10808.47561,ROU,642.0
Slovak Republic,Europe,1982.0,70.8,5048043.0,11348.54585,SVK,703.0
Turkey,Europe,2007.0,71.777,71158647.0,8458.276384,TUR,792.0
Nigeria,Africa,1997.0,47.464,106207839.0,1624.941275,NGA,566.0
Taiwan,Asia,2002.0,76.99,22454239.0,23235.42329,TWN,158.0
Ghana,Africa,1982.0,53.744,11400338.0,876.032569,GHA,288.0
Israel,Asia,1952.0,65.39,1620914.0,4086.522128,ISR,376.0
Hungary,Europe,1957.0,66.41,9839000.0,6040.180011,HUN,348.0
Cameroon,Africa,1977.0,49.355,7959865.0,1783.432873,CMR,120.0
Equatorial Guinea,Africa,1992.0,47.545,387838.0,1132.055034,GNQ,226.0
Australia,Oceania,1957.0,70.33,9712569.0,10949.64959,AUS,36.0
Puerto Rico,Americas,1952.0,64.28,2227000.0,3081.959785,PRI,630.0
Reunion,Africa,1997.0,74.77199999999998,684810.0,6071.941411,REU,638.0
Switzerland,Europe,1967.0,72.77,6063000.0,22966.14432,CHE,756.0
Belgium,Europe,1952.0,68.0,8730405.0,8343.105126999999,BEL,56.0
Australia,Oceania,1987.0,76.32,16257249.0,21888.88903,AUS,36.0
Angola,Africa,2002.0,41.003,10866106.0,2773.287312,AGO,24.0
China,Asia,1992.0,68.69,1164970000.0,1655.784158,CHN,156.0
"Korea, Rep.",Asia,1992.0,72.244,43805450.0,12104.27872,KOR,410.0
Norway,Europe,1977.0,75.37,4043205.0,23311.34939,NOR,578.0
Sri Lanka,Asia,1962.0,62.192,10421936.0,1074.47196,LKA,144.0
Spain,Europe,1977.0,74.39,36439000.0,13236.92117,ESP,724.0
Nigeria,Africa,1992.0,47.472,93364244.0,1619.848217,NGA,566.0
Mexico,Americas,1967.0,60.11,47995559.0,5754.733883,MEX,484.0
Saudi Arabia,Asia,2007.0,72.777,27601038.0,21654.83194,SAU,682.0
Saudi Arabia,Asia,1972.0,53.886,6472756.0,24837.42865,SAU,682.0
Guinea-Bissau,Africa,1997.0,44.87300000000001,1193708.0,796.6644681,GNB,624.0
Uruguay,Americas,1957.0,67.044,2424959.0,6150.772969,URY,858.0
Libya,Africa,2007.0,73.952,6036914.0,12057.49928,LBY,434.0
Slovak Republic,Europe,1972.0,70.35,4593433.0,9674.167626,SVK,703.0
Chad,Africa,1972.0,45.569,3899068.0,1104.103987,TCD,148.0
Zimbabwe,Africa,1952.0,48.451,3080907.0,406.8841148,ZWE,716.0
Reunion,Africa,1967.0,60.542,414024.0,4021.175739,REU,638.0
Ireland,Europe,1967.0,71.08,2900100.0,7655.568963,IRL,372.0
Croatia,Europe,1972.0,69.61,4225310.0,9164.090127,HRV,191.0
Angola,Africa,1952.0,30.015,4232095.0,3520.610273,AGO,24.0
Sri Lanka,Asia,1977.0,65.949,14116836.0,1348.775651,LKA,144.0
Ghana,Africa,1967.0,48.072,8490213.0,1125.69716,GHA,288.0
United Kingdom,Europe,1972.0,72.01,56079000.0,15895.11641,GBR,826.0
Haiti,Americas,1987.0,53.636,5756203.0,1823.015995,HTI,332.0
Bahrain,Asia,1997.0,73.925,598561.0,20292.01679,BHR,48.0
Guinea-Bissau,Africa,1992.0,43.26600000000001,1050938.0,745.5398706,GNB,624.0
Chad,Africa,1977.0,47.383,4388260.0,1133.98495,TCD,148.0
Uganda,Africa,1997.0,44.578,21210254.0,816.559081,UGA,800.0
Romania,Europe,1962.0,66.8,18680721.0,4734.997586,ROU,642.0
Nicaragua,Americas,1962.0,48.632,1590597.0,3634.364406,NIC,558.0
Argentina,Americas,1957.0,64.399,19610538.0,6856.8562120000015,ARG,32.0
Ecuador,Americas,1977.0,61.31,7278866.0,6679.62326,ECU,218.0
Italy,Europe,2002.0,80.24,57926999.0,27968.09817,ITA,380.0
El Salvador,Americas,1962.0,52.307,2747687.0,3776.803627,SLV,222.0
Niger,Africa,1997.0,51.313,9666252.0,580.3052092,NER,562.0
Bangladesh,Asia,1992.0,56.018,113704579.0,837.8101642999999,BGD,50.0
Guinea,Africa,1992.0,48.576,6990574.0,794.3484384,GIN,324.0
Saudi Arabia,Asia,1982.0,63.012,11254672.0,33693.17525,SAU,682.0
Mauritius,Africa,1987.0,68.74,1042663.0,4783.586903,MUS,480.0
Venezuela,Americas,1997.0,72.146,22374398.0,10165.49518,VEN,862.0
Gambia,Africa,1967.0,35.857,439593.0,734.7829124,GMB,270.0
Swaziland,Africa,1982.0,55.56100000000001,649901.0,3895.384018,SWZ,748.0
Sao Tome and Principe,Africa,2007.0,65.528,199579.0,1598.435089,STP,678.0
Bahrain,Asia,1977.0,65.593,297410.0,19340.10196,BHR,48.0
Mozambique,Africa,1962.0,36.161,7788944.0,556.6863539,MOZ,508.0
Oman,Asia,1952.0,37.578,507833.0,1828.230307,OMN,512.0
Tunisia,Africa,1982.0,64.048,6734098.0,3560.2331740000004,TUN,788.0
Mozambique,Africa,1952.0,31.286,6446316.0,468.5260381,MOZ,508.0
Comoros,Africa,1997.0,60.66,527982.0,1173.618235,COM,174.0
Poland,Europe,1992.0,70.99,38370697.0,7738.881247,POL,616.0
Jordan,Asia,2007.0,72.535,6053193.0,4519.461171,JOR,400.0
Albania,Europe,1952.0,55.23,1282697.0,1601.056136,ALB,8.0
Burundi,Africa,1982.0,47.471,4580410.0,559.6032309999998,BDI,108.0
Argentina,Americas,2002.0,74.34,38331121.0,8797.640716,ARG,32.0
Mozambique,Africa,1977.0,42.495,11127868.0,502.3197334,MOZ,508.0
Poland,Europe,1987.0,70.98,37740710.0,9082.351172,POL,616.0
Madagascar,Africa,2002.0,57.286,16473477.0,894.6370822,MDG,450.0
Bangladesh,Asia,2007.0,64.062,150448339.0,1391.253792,BGD,50.0
Indonesia,Asia,1967.0,45.964,109343000.0,762.4317721,IDN,360.0
Hungary,Europe,1992.0,69.17,10348684.0,10535.62855,HUN,348.0
"Congo, Dem. Rep.",Africa,1957.0,40.652,15577932.0,905.8602303,COD,180.0
Egypt,Africa,1952.0,41.893,22223309.0,1418.822445,EGY,818.0
Mexico,Americas,1962.0,58.299,41121485.0,4581.609385,MEX,484.0
Senegal,Africa,1957.0,39.329,3054547.0,1567.653006,SEN,686.0
Panama,Americas,1962.0,61.817,1215725.0,3536.540301,PAN,591.0
Guinea-Bissau,Africa,2002.0,45.504,1332459.0,575.7047176,GNB,624.0
Central African Republic,Africa,2007.0,44.74100000000001,4369038.0,706.016537,CAF,140.0
Paraguay,Americas,1982.0,66.874,3366439.0,4258.503604,PRY,600.0
Portugal,Europe,1987.0,74.06,9915289.0,13039.30876,PRT,620.0
Spain,Europe,1952.0,64.94,28549870.0,3834.034742,ESP,724.0
,,,,,,,
Djibouti,Africa,1962.0,39.69300000000001,89898.0,3020.989263,DJI,262.0
Venezuela,Americas,1957.0,57.907,6702668.0,9802.466526,VEN,862.0
Cuba,Americas,1962.0,65.24600000000001,7254373.0,5180.75591,CUB,192.0
Angola,Africa,1987.0,39.906,7874230.0,2430.208311,AGO,24.0
