ClientID,Age,AnnualIncome,PurchaseAmount,PurchaseFrequency,CustomerSatisfaction,Region,Ville,Latitude,Longitude,Population,Altitude,DiscountApplied,OrderMethod,PaymentMethod,TimeOfDay,ShippingCost
,36.0,26638.669953104334,155.0187567573906,1.6068129209898854,4.318974364585177,Côte-d'Or,Champdôtre,47.181,5.304,590.0,191.0,True,In-store,Bank Transfer,Afternoon,8.14682357168806
Client_5091,72.0,33512.13968464418,1620.507873145758,0.8333748176531673,-6.708278321394852,Cantal,Pradiers,45.27,2.924,83.0,1227.0,False,Online,PayPal,Afternoon,11.814968171003896
Client_1697,62.0,39946.95864262112,289.3672767559017,1.9270206865048665,1.149138324435937,Alpes-de-Haute-Provence,Venterol,44.445,6.099,227.0,1017.0,,Mobile App,PayPal,Afternoon,10.986516770987885
Client_16322,32.0,14089.135444040867,351.90310493426915,2.6524350105159384,1.3095294239399111,Loire-Atlantique,Petit-Auverné,47.611,-1.291,430.0,59.0,False,Mobile App,Credit Card,Evening,8.786350170603825
Client_15285,68.0,49539.444550654065,595.0963698001146,2.997900244808428,2.8669323491657543,Landes,Saint-Cricq-du-Gave,43.535,-1.014,438.0,38.0,True,Online,Credit Card,Afternoon,6.3064519602667115
,39.0,,294.04523562629487,3.265284707727797,1.6941470400495153,Martinique,Case-Pilote,,-61.139,4499.0,270.0,False,In-store,PayPal,Morning,17.512370839308282
Client_25376,52.0,37379.470750030516,521.6568466231217,,0.22672037317535043,Pyrénées-Atlantiques,Simacourbe,43.446,-0.166,419.0,257.0,False,Online,Bank Transfer,Evening,19.79767771766
Client_29164,,-3048.8706604915133,802.6173152081036,4.122926608659229,-1.837060151138524,Haute-Savoie,Mûres,45.805,6.037,894.0,519.0,True,Online,Credit Card,Morning,2.2249304681994246
Client_15327,55.0,21883.85555503096,579.3077048213215,3.398242568517164,1.4862217775350932,Landes,Seignosse,43.69,-1.374,3900.0,17.0,True,Online,Credit Card,Evening,6.6010644707368105
Client_20662,49.0,30649.755545469663,374.33655096812595,1.4390330538175353,-0.2752834517545901,Morbihan,Plaudren,47.779,-2.694,1962.0,98.0,False,Mobile App,Bank Transfer,Afternoon,10.30247142128391
Client_34968,24.0,18782.579073665172,799.6149309957082,10.659396650020348,2.887361276747561,Mayotte,Chiconi,-12.832,45.115,8295.0,87.0,False,Mobile App,PayPal,Afternoon,10.696502113880438
Client_15182,48.0,-15731.271993107213,333.76306189642145,2.164075440827821,,Landes,Léon,43.876,-1.303,2057.0,31.0,True,Mobile App,Credit Card,Morning,14.348875395817155
Client_14271,62.0,46842.85834654538,318.38754177368025,2.1420425092591304,4.165685423968037,Isère,Murianette,45.191,5.819,867.0,456.0,True,Mobile App,PayPal,Afternoon,11.212354994872724
Client_4310,75.0,,559.7592008515983,1.4316685904653346,-2.682351583990217,,Cassis,43.214,5.54,6720.0,166.0,False,Online,,Evening,16.602425820517098
Client_26051,74.0,24718.71831201507,941.0096386163423,3.1754617350477403,-0.05957712436111251,Pyrénées-Orientales,Saint-Jean-Pla-de-Corts,42.512,2.79,2258.0,119.0,False,,Credit Card,Afternoon,11.066229317936651
Client_12273,27.0,46968.56575169912,481.8017051751293,0.16000157511961308,3.121461726776068,Gers,Seysses-Savès,,1.041,246.0,210.0,True,In-store,,Evening,14.607427155955442
Client_7258,77.0,15111.489212705412,752.4633261180302,1.8724119914067838,-3.840740936464986,Côte-d'Or,Villars-et-Villenotte,47.512,4.378,168.0,335.0,False,Mobile App,Credit Card,Evening,8.939499208889355
Client_17067,36.0,-243.77995936517982,633.1081813930364,1.3148539358308828,3.6535849601784327,Lot-et-Garonne,Anthé,44.371,0.96,,179.0,True,Online,PayPal,Afternoon,10.259687777926146
,36.0,44021.54054326431,268.41464449336956,1.6209644681249433,0.41586777810279285,Haute-Garonne,Castagnède,43.054,0.979,183.0,344.0,False,Mobile App,PayPal,Morning,8.534148016394415
Client_2905,44.0,35110.000968509405,802.5056056722294,2.690089535622051,3.2107054452484993,Ariège,Cescau,42.931,1.039,161.0,721.0,False,Mobile App,Credit Card,Morning,
Client_34934,,5658.320585733109,41.4058187522763,4.846915551808249,-2.466190106779101,Guyane,Camopi,3.167,-52.334,2146.0,186.0,True,Online,PayPal,Evening,3.4049906656967277
,76.0,53942.759476374355,395.00891603791024,2.3927302423224175,-0.547620490388967,Territoire de Belfort,Lepuix-Neuf,47.539,7.101,313.0,406.0,False,Mobile App,PayPal,,15.962393640292154
Client_10829,21.0,14532.045701547342,664.761968373709,2.239023767813896,2.7336973725953904,Haute-Corse,Poggio-d'Oletta,42.64,9.36,215.0,311.0,False,Mobile App,Bank Transfer,,15.252650482954822
Client_4118,70.0,27701.455886958913,430.4928668692321,1.6074238594188568,-4.9754624773700105,Aveyron,Laval-Roquecezière,43.808,2.649,286.0,600.0,False,Mobile App,Bank Transfer,Evening,4.034337645832375
Client_29261,68.0,,963.225809258197,,-1.6754978550575599,Haute-Savoie,Villy-le-Pelloux,46.001,6.133,,680.0,False,Mobile App,Bank Transfer,,17.952678325929213
Client_32576,69.0,,,2.0367879493077328,-3.389684585833315,Vaucluse,Sarrians,44.083,4.972,5932.0,58.0,False,In-store,Credit Card,Evening,4.644832072265302
Client_34904,35.0,9024.354804672734,574.2093430499403,5.64774276350719,-1.3313603368825735,Martinique,Rivière-Salée,14.529,-60.981,11887.0,66.0,False,,Credit Card,Afternoon,12.361981668480656
Client_11824,79.0,34127.59598698081,422.39449422824987,3.6145678953251625,-1.7200612986536008,Haute-Garonne,Vaudreuille,43.426,1.981,385.0,332.0,False,Mobile App,Credit Card,Afternoon,7.241188128452867
Client_17491,73.0,16204.514805616762,2386.6158015181395,1.0940591223820493,2.4376857942051657,Lozère,Sainte-Eulalie,44.791,3.467,36.0,1325.0,True,Mobile App,PayPal,Evening,18.377318533097903
Client_34960,45.0,4209.666463793976,2962.4754108910547,,,La Réunion,Salazie,-21.028,55.539,7243.0,1175.0,False,In-store,PayPal,Afternoon,7.992745376898066
Client_12847,37.0,51986.73073450397,453.6214972266624,0.4451222986735034,3.313727790168257,Hérault,Agde,43.313,3.478,29103.0,8.0,False,In-store,PayPal,,7.036692184221096
Client_11725,28.0,32607.386093067988,1760.7629365288856,1.6910300315461644,4.730644236099936,Haute-Garonne,Saint-Aventin,42.806,,60.0,1410.0,True,Online,Bank Transfer,Afternoon,
Client_34941,,15195.686584760364,,11.464628536614137,-4.821172692702867,La Réunion,Bras-Panon,-20.995,,13344.0,673.0,False,Mobile App,Bank Transfer,Afternoon,7.673327632390902
Client_34955,68.0,,73.26124635709505,8.971818014277211,,La Réunion,Saint-Pierre,-21.342,55.478,84077.0,295.0,True,Mobile App,PayPal,Morning,13.976116131710729
Client_25365,26.0,25116.90853756146,231.07295825019827,,3.022536389223519,Pyrénées-Atlantiques,Sauveterre-de-Béarn,43.399,-0.938,1365.0,107.0,False,In-store,Credit Card,Morning,
Client_4366,72.0,26447.984205622713,413.21874383601573,2.304194048451156,-3.5545738823371895,Bouches-du-Rhône,Port-Saint-Louis-du-Rhône,43.388,4.803,8446.0,1.0,False,,Credit Card,Afternoon,5.946930595474008
Client_12832,68.0,4842.002874382586,455.54778004701166,2.034189037436138,2.541612692798318,Gironde,,44.588,-0.25,1035.0,44.0,False,Online,Bank Transfer,Morning,23.046493936804815
Client_34876,76.0,21195.418975603123,54.688653641948356,4.310336665855753,-2.6989267044646317,Guadeloupe,,15.954,-61.319,,69.0,True,Online,PayPal,Morning,
Client_34949,64.0,49194.81042093497,864.2655857733571,11.45481337521576,-0.4473991099213943,La Réunion,Saint-Benoît,-21.034,55.713,37023.0,768.0,True,Online,Credit Card,Morning,5.153481266214961
Client_12708,56.0,28072.23631218822,314.8793488611133,1.7202711632253052,-0.07829560453737194,Gironde,,44.951,-0.334,395.0,21.0,False,Mobile App,PayPal,Morning,0.7879409744376442
Client_18693,25.0,35058.978678751424,,,0.9934924886671235,Marne,Vanault-les-Dames,48.843,4.773,370.0,130.0,False,In-store,Credit Card,Afternoon,12.727031436670396
Client_4172,56.0,38417.67105097566,706.8559992282158,1.8551663749178182,-0.4846271134290263,Aveyron,Pierrefiche,44.443,,284.0,640.0,True,Online,,Afternoon,2.483174134232665
Client_4392,77.0,33165.704892661204,149.66672995402513,1.4514357272547087,-3.752684966832618,Bouches-du-Rhône,Sausset-les-Pins,43.332,5.109,7563.0,70.0,False,Online,Credit Card,Morning,3.3233148544647975
Client_34962,47.0,24335.511417189464,1633.8050172313453,3.4710246122987,1.6525567538519619,La Réunion,Les Trois-Bassins,-21.106,55.295,,1242.0,True,In-store,Bank Transfer,,12.527674814505875
Client_34884,45.0,29861.24476085664,76.68597552908346,,-0.5751928268254423,Martinique,L'Ajoupa-Bouillon,14.825,-61.114,1715.0,389.0,False,In-store,Credit Card,Evening,11.693570009003576
Client_8532,67.0,,132.87787770512557,0.8010257718081982,-6.797239689756513,Doubs,Corcelles-Ferrières,47.226,5.81,213.0,,False,Online,PayPal,Evening,
Client_11220,40.0,68520.16234235745,1539.161775964932,1.5302338886232247,0.25327228176720684,Gard,Savignargues,43.962,4.084,,115.0,True,Mobile App,PayPal,Afternoon,
Client_23282,33.0,35556.04486608729,161.2504363002135,1.9267038216640695,0.7155832916844964,Orne,,48.69,-0.123,241.0,184.0,False,,Credit Card,Morning,4.732184731443687
Client_28905,23.0,28065.11164898603,3514.253531215154,2.0014773729886635,0.020254411259981397,Savoie,Saint-Colomban-des-Villards,45.294,6.226,,1983.0,False,Online,Credit Card,Evening,6.247057292654263
Client_34880,42.0,16515.098884215862,305.9224505320596,5.317751233950625,0.23115034066817142,Guadeloupe,Terre-de-Haut,,-61.582,1496.0,49.0,False,Mobile App,PayPal,Evening,
Client_34952,40.0,29856.160372361315,985.5473582415445,,3.5585287940645283,La Réunion,Saint-Leu,-21.166,55.287,34893.0,,True,In-store,Bank Transfer,Evening,15.765519552054197
Client_26072,44.0,28751.869240104046,911.2925302629205,3.517081592078218,3.5126135072715865,Pyrénées-Orientales,Taillet,42.527,2.672,105.0,455.0,False,Mobile App,Credit Card,Evening,8.469387450515713
,61.0,28857.24737136796,59.68525440191149,10.028497524330911,0.6798857097001783,Guyane,,3.889,-51.801,4505.0,83.0,False,Mobile App,Bank Transfer,Morning,9.521292128109705
Client_25171,,57067.88264194725,69.73372744461932,1.0333984569370407,,Pyrénées-Atlantiques,Laroin,43.305,-0.442,1061.0,204.0,False,In-store,PayPal,Morning,4.306154873560425
Client_7926,56.0,,891.1851499087841,2.278740012151758,1.8004925518501071,Dordogne,Biras,,0.638,700.0,186.0,True,Online,Credit Card,,12.054153523813257
Client_3843,65.0,47594.647625672485,,1.509500210334556,-3.5284226542660573,Aude,Pécharic-et-le-Py,43.188,1.837,29.0,,False,In-store,Bank Transfer,Afternoon,15.948715841391767
Client_11796,24.0,28440.902530416173,531.4746968464774,0.5730229296033529,0.4973574516806232,,Seilh,43.695,1.354,3266.0,133.0,True,In-store,PayPal,Afternoon,-0.09659216022105355
Client_28093,21.0,39096.44734168066,100.9906074770683,1.581911858658741,4.897411705816307,Saône-et-Loire,Montceaux-Ragny,46.621,4.843,31.0,314.0,False,In-store,Credit Card,Afternoon,7.3433564214342395
Client_25929,24.0,49006.596467802185,1627.4642879584744,1.886007576928951,4.197723805812242,Pyrénées-Orientales,,42.585,2.443,266.0,743.0,,In-store,,Evening,7.537017788743905
Client_142,30.0,,42.40503424690888,1.8586179316143419,-0.8627369279279147,Ain,Foissiat,46.369,5.175,2014.0,210.0,True,Online,PayPal,Afternoon,8.815904132699384
Client_34915,49.0,34294.532419492825,,3.2211521683306104,0.24028800500315928,Martinique,Le Vauclin,14.545,-60.84,8474.0,78.0,False,Mobile App,Credit Card,Afternoon,17.04443263534816
Client_9157,71.0,47461.288511671206,107.90890202763325,1.677870134842467,-3.0932832024362398,Drôme,Montmeyran,44.834,4.974,2960.0,,True,Mobile App,Credit Card,Afternoon,4.365496947892363
Client_34923,55.0,35399.176760325056,585.6016886285588,5.419530842534846,-0.8733695314758738,Guyane,Mana,5.667,-53.777,11764.0,71.0,True,Online,Credit Card,,
Client_15857,46.0,25115.895094122116,923.3333293009254,2.005406156854062,4.258331344714328,Loire,,45.368,4.041,,,True,,PayPal,Afternoon,13.894576443389305
Client_25911,52.0,23353.570724400673,649.7648325122195,2.4505274652951625,-2.183535704666099,,Camélas,42.651,2.706,457.0,256.0,False,Mobile App,PayPal,Morning,7.79328454998507
Client_34953,39.0,42910.99024523077,1599.013147699528,4.569470300312001,2.288830598987126,La Réunion,Saint-Louis,-21.287,55.409,53935.0,666.0,True,Mobile App,Credit Card,Afternoon,10.112780512951904
Client_9143,25.0,-1383.7798644837385,732.5887937739052,1.9368392132959018,4.290752085974518,Drôme,Montbrison-sur-Lez,44.436,5.017,271.0,361.0,False,In-store,Bank Transfer,Afternoon,7.438623380306514
Client_2321,22.0,28486.481483724885,494.0757091904769,2.0235459632832367,4.0622395813149055,Ardèche,Salavas,44.395,4.378,722.0,192.0,True,Mobile App,Credit Card,Evening,11.74302770699308
Client_5501,64.0,32795.721442826056,590.2996568341546,,3.2673118186626637,Charente,,45.675,0.128,7525.0,52.0,True,In-store,Bank Transfer,Morning,15.632816663715488
Client_4357,74.0,43618.46700353285,64.60932330630072,,,Bouches-du-Rhône,Pélissanne,43.631,5.152,10554.0,110.0,True,Online,Bank Transfer,Morning,9.906297941097145
Client_3991,66.0,55202.73630110131,834.5736544970569,1.6328686577988913,-4.701435460510178,Aude,Villemoustaussou,43.253,2.365,4468.0,116.0,False,Mobile App,Bank Transfer,Evening,
Client_34957,64.0,18634.30418060914,,0.2577588328368501,,La Réunion,Sainte-Marie,-20.897,55.549,34344.0,619.0,False,In-store,Credit Card,Afternoon,10.57253335718924
Client_57,20.0,28852.224824584482,447.38432171133684,1.2629560115273841,1.8651462137618937,Ain,Briord,45.782,5.459,1099.0,290.0,False,Mobile App,PayPal,Morning,10.385712608447962
Client_14049,31.0,1165.3961493439165,962.0233314975462,2.517082181321885,0.1917295107925907,Isère,,45.635,5.563,7740.0,226.0,True,Mobile App,Credit Card,Afternoon,8.174873178361546
Client_11493,72.0,25216.318283139688,812.1129327623407,2.3468989655336143,,Haute-Garonne,Le Grès,43.723,1.098,465.0,235.0,True,Mobile App,,Morning,7.627363214890831
Client_34939,50.0,38924.415089888294,235.35703589829316,6.128320666699724,0.5270514627068907,Guyane,Papaichton,3.807,-54.15,5606.0,153.0,True,In-store,Credit Card,Morning,10.4549667454429
Client_11283,65.0,40895.42987533395,932.0312282674391,2.47024269329376,0.09772314934959958,Haute-Garonne,Aucamville,43.669,,9349.0,130.0,False,Online,Credit Card,Evening,14.318048559970642
Client_14193,42.0,27230.90570242069,50.234914625931935,2.7632320675911792,3.7026970257781935,Isère,,45.664,5.081,1635.0,272.0,True,In-store,Credit Card,Evening,11.873542187072733
Client_34976,76.0,28336.954447843193,26.828383521990077,7.639954610226098,,Mayotte,,-12.761,45.084,6432.0,96.0,True,Online,PayPal,Morning,9.547499755714044
Client_34937,18.0,11232.52118674816,431.676824744873,5.008699940866269,5.855679919973935,Guyane,Apatou,5.156,-54.344,9818.0,110.0,True,Online,Bank Transfer,Afternoon,6.1450955709694375
Client_7781,40.0,17652.782040100104,145.7025800693965,1.0924870322815525,-0.15538710608248507,Creuse,Pionnat,46.17,2.025,722.0,454.0,True,Mobile App,Bank Transfer,Morning,7.461763071934419
Client_1685,30.0,,2773.414912696915,1.6485721183701123,0.3277705461980398,Alpes-de-Haute-Provence,Thorame-Basse,44.09,6.499,,1564.0,False,In-store,Bank Transfer,,13.606978422611585
Client_34893,75.0,20904.47432253803,1179.1129044947181,5.762722025151083,-0.018318140820152706,Martinique,Le François,14.615,-60.903,15996.0,59.0,False,Online,PayPal,Morning,14.563294848436048
Client_16805,,,640.7025865939825,2.371466183131409,-0.2316633471852243,Lot,Cazals,44.644,,644.0,224.0,True,Online,Credit Card,Morning,18.053873190107815
Client_34947,29.0,58699.3090131036,1244.5979757344605,,2.291494485069782,La Réunion,La Possession,-20.926,55.336,35245.0,855.0,False,,Bank Transfer,Afternoon,14.985176874611522
Client_1927,44.0,4084.4125305329508,343.41479129964074,1.2835417229240078,-3.3887638564050455,Alpes-Maritimes,Falicon,43.749,7.279,2111.0,338.0,False,Online,Bank Transfer,Afternoon,13.942717722988814
,68.0,32635.498103397385,,1.4141360952233488,-1.71363339068784,Yonne,Les Hauts de Forterre,47.617,3.404,,302.0,True,Online,,Afternoon,9.328648256477146
Client_34897,79.0,55061.363311317014,534.8480670299248,6.068434933256589,-1.5823544300007555,Martinique,Le Lorrain,14.833,-61.056,6648.0,261.0,False,Online,Credit Card,Afternoon,10.764674761009061
Client_34874,66.0,38446.49094060967,773.7551715468448,4.714910037766826,-1.4786237334934498,Guadeloupe,Saint-Claude,,,10700.0,650.0,,,Credit Card,Morning,1.3459454972467473
Client_34971,40.0,49583.14003208536,214.66845809700544,6.596944044029925,2.063454524178917,Mayotte,Dzaoudzi,-12.788,45.272,17831.0,32.0,True,Online,Bank Transfer,Morning,8.858190690254613
Client_33522,,68377.41885518935,509.17771783104104,0.42587309031271436,3.1214514507637214,Vosges,Gorhey,48.194,6.283,170.0,358.0,True,Mobile App,PayPal,Morning,
Client_34901,45.0,,310.1961870125291,5.209824870156418,0.5523187578295696,Martinique,Le Morne-Rouge,14.773,-61.135,4551.0,422.0,,Online,,Morning,15.442201584339553
,25.0,20616.764700435597,636.686960365457,1.4051804666853833,6.590888356930568,,Asprières,44.545,2.144,764.0,364.0,True,In-store,PayPal,Afternoon,14.501833790596148
Client_10865,38.0,-12461.137592745727,702.3753303159632,4.203125789034007,4.389106078072036,Haute-Corse,Saint-Florent,42.682,9.304,1689.0,73.0,True,Mobile App,Credit Card,Evening,9.784967955788522
Client_34930,52.0,27013.67543975709,356.8010578495299,5.401610135078214,-0.17640747726960926,Guyane,Montsinéry-Tonnegrande,4.893,-52.493,3295.0,24.0,,Online,Bank Transfer,Morning,6.865715875387025
,40.0,,1854.735697309894,7.427862806346806,-0.1020813551653843,,La Plaine-des-Palmistes,-21.135,,6821.0,1386.0,False,,PayPal,Morning,14.598809165059432
Client_34918,49.0,49389.07733071371,174.39694553638634,3.9945874165493285,2.4221075573049244,Guyane,Régina,4.314,-52.129,,88.0,True,Mobile App,Credit Card,Evening,9.963398619737493
,63.0,,600.3857207226852,2.280342561413375,-0.5423374710936125,Gironde,Gradignan,44.772,-0.608,25835.0,32.0,True,Online,,,21.335019639529158
Client_9159,30.0,,148.0944351572002,1.0469076739663399,3.697239728970559,,Montoison,44.796,4.942,1948.0,170.0,True,In-store,,Evening,9.570124131632465
Client_34974,41.0,19440.439761047608,119.56943507299059,4.797467044541875,4.361092076515275,Mayotte,Mamoudzou,-12.781,45.232,71437.0,161.0,True,Online,Credit Card,Morning,13.009785805349683
Client_33761,32.0,25939.896536143056,37.296130383422906,2.042137815943854,2.3356367518695067,Vosges,They-sous-Montfort,48.232,5.975,125.0,394.0,False,Online,PayPal,Morning,10.494668086369407
Client_2149,79.0,35578.55206839476,,2.398489467526657,-0.09039869263528955,Ardèche,Lafarre,45.079,4.51,43.0,855.0,True,Mobile App,Bank Transfer,Morning,13.34445461698262
Client_34954,20.0,13209.467948568621,1204.4923217032401,6.826417073013122,0.0677915657450352,La Réunion,Saint-Paul,-21.01,55.27,105240.0,791.0,False,In-store,Credit Card,Evening,2.942228628395757
Client_9067,72.0,32271.44679479361,107.90030271446483,2.5931027720616138,0.2632299474068549,,Crozes-Hermitage,45.09,4.847,655.0,248.0,True,Mobile App,Credit Card,Afternoon,13.544423925652028
Client_11589,36.0,63159.926941915626,998.9371218809824,1.1843763148968434,3.5986013231535425,Haute-Garonne,,43.387,0.926,84.0,234.0,True,,PayPal,Afternoon,7.734828108326589
Client_25674,31.0,26081.928577748018,,1.3765526108560187,2.79719566474336,Hautes-Pyrénées,Lhez,43.204,0.198,77.0,,False,,PayPal,Afternoon,13.667768178065156
Client_34938,51.0,34797.29250448495,334.33341427747615,7.918925765744079,0.8870889964398208,Guyane,Awala-Yalimapo,5.734,-53.906,1516.0,2.0,True,Online,Bank Transfer,Morning,3.9161326258005396
,61.0,26982.122168410366,919.8377384758649,3.0277618478097956,1.650386436624121,Pyrénées-Atlantiques,,43.429,-1.256,978.0,86.0,False,Online,Credit Card,Afternoon,13.373425636954554
Client_24716,58.0,39359.8924559999,857.486301893751,2.622703254219118,0.29983589396982335,Puy-de-Dôme,Saint-Bonnet-le-Bourg,45.435,3.608,175.0,990.0,False,Mobile App,Credit Card,Afternoon,16.2631447666503
Client_30380,34.0,-11867.207217702373,748.2115429678843,0.23085884073823976,1.623868359416456,Seine-et-Marne,,48.816,3.36,338.0,186.0,True,Online,PayPal,Morning,15.841870959421115
Client_10593,33.0,56432.807176979564,587.3931465167747,3.048183995276821,3.063386914208823,Corse-du-Sud,Eccica-Suarella,41.923,8.908,1357.0,196.0,True,In-store,Credit Card,Morning,
Client_15724,30.0,25929.246500955524,1360.6557063733835,1.1062570538155148,,Loire,Fourneaux,45.937,4.269,571.0,,False,Mobile App,PayPal,Evening,10.70576177202095
Client_12312,76.0,23364.99614652308,248.612303689216,1.5740714698600637,-2.76303985334261,Gironde,Ambarès-et-Lagrave,44.926,-0.491,16798.0,9.0,False,Online,PayPal,Afternoon,8.374963285047091
Client_9730,48.0,,348.9181757083783,2.4265109356679937,1.5494049760737119,,Pressagny-l'Orgueilleux,49.132,1.444,696.0,74.0,True,,PayPal,,13.595144467386945
Client_34907,25.0,-11077.145322826123,872.7522662380874,5.723060747789489,4.929167392838728,Martinique,Saint-Joseph,14.67,-61.039,16135.0,245.0,True,In-store,Credit Card,Morning,
Client_34969,54.0,30389.675184640695,551.9163819003844,8.030022794876471,2.2845896949764715,Mayotte,Chirongui,-12.936,45.15,8920.0,123.0,True,Mobile App,PayPal,Morning,11.286016739996406
